 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698537934.089604736] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698537934.090972755] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537934.095031809] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698537934.097390840] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537934.110609016] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698537934.111143023] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698537934.117948114] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537934.119798138] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537934.124868206] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537934.128748257] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537934.126357226] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698537934.130202277] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537934.139267397] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537934.145297478] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698537934.145284478] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537934.157183636] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537934.167300771] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698537934.172059834] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698537934.173370851] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698537934.182863978] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698537934.186717029] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537934.195487146] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537934.197622174] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537934.206823297] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537934.210655348] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537934.214252395] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537934.214526399] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537934.218294449] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537934.223375517] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698537934.231225621] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537934.229855603] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537934.240015738] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537934.247426837] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537934.258411983] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537934.263258048] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537934.267040098] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537934.274432196] [robot]: Action: a_authenticate_nurse
