 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698530276.347847278] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530276.361406341] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698530276.366345364] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530276.371429388] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698530276.376682413] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530276.381476435] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530276.381965437] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530276.388192466] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698530276.394429495] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698530276.398564515] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698530276.404497543] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698530276.407307556] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530276.411907577] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698530276.422472627] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530276.427072648] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530276.427655651] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530276.432310672] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530276.434005680] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530276.434005680] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530276.440654711] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698530276.443596725] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530276.446153737] [robot]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698530276.455366780] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530276.462197812] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530276.472315859] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698530276.474434869] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530276.477886885] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530276.479786894] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698530276.481895904] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530276.485909923] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530276.499081984] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698530276.500847993] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530276.508037026] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530276.513431052] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530276.515110059] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
