 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698540147.537745107] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540147.542231174] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540147.527258950] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540147.530882004] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540147.535416072] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540147.539438132] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698540147.545908230] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698540147.554628360] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540147.556351386] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698540147.565405522] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540147.573540644] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540147.578813723] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698540147.580231745] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540147.588807873] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540147.597711007] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540147.601764068] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540147.605604126] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540147.604224105] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540147.608188164] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540147.615684277] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540147.619249330] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698540147.624103403] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540147.625897430] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540147.632610531] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698540147.645569725] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698540147.651670817] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540147.658595921] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540147.663412993] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540147.669972092] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698540147.674170155] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540147.670241096] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540147.674293157] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540147.682045273] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540147.688637372] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540147.690072394] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698540147.698006513] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698540147.701871571] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698540147.700454549] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698540147.704687613] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540147.701364563] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540147.705488625] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540147.713255742] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540147.717436804] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540147.714250756] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540147.718019813] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540147.729133980] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540147.737492105] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540147.750703304] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698540147.757684408] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540147.757865411] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540147.761136460] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
