 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698530714.063194573] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698530714.067606574] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530714.075076575] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530714.078402576] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698530714.083519577] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530714.084271577] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530714.091814579] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698530714.092059579] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530714.093682579] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530714.097978580] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698530714.102966582] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698530714.106919582] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530714.112584584] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698530714.113102584] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530714.117816585] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530714.131841588] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530714.131786588] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698530714.137449589] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698530714.138658590] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698530714.141346590] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530714.151561592] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530714.155614593] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530714.156679594] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698530714.168763596] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698530714.169450596] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530714.177023598] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698530714.178986599] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530714.183960600] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530714.194247602] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698530714.192949602] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530714.200159603] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698530714.207432605] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530714.210102606] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530714.216031607] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698530714.225544609] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698530714.228870610] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530714.226702609] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530714.230765610] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530714.242374613] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530714.246231614] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530714.251634615] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530714.257227616] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530714.252727615] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530714.269077619] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530714.272997620] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530714.276912621] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530714.282915622] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530714.286506623] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698530714.290560624] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698530714.295296625] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530714.305418627] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698530714.311601628] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698530714.311794628] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530714.322174631] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530714.322701631] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530714.329494632] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530714.337228634] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530714.346106636] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530714.354271638] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530714.359360639] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530714.363667640] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530714.360247639] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530714.368774641] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530714.381327644] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530714.387865645] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530714.391758646] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530714.396576647] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698530714.400501648] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530714.404249649] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698530714.410341650] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530714.414084651] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530714.413611651] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698530714.418732652] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698530714.434315656] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698530714.437669657] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530714.438955657] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698530714.442093658] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530714.456459661] [environment]: Responding
