 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698533017.171274514] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533017.175275480] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533017.177747459] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533017.186710382] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533017.191051345] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533017.197920287] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533017.201975252] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698533017.205843219] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533017.209990183] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533017.202062251] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533017.206020217] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533017.213856150] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533017.218016115] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698533017.214435145] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533017.218770108] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533017.222631075] [robot]: Authenticate nurse
trials-all-1  | [coordinator-2] [INFO] [1698533017.230073012] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533017.234314976] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533017.238392941] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698533017.231906996] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698533017.235898962] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533017.232907988] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533017.237075952] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533017.257321779] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533017.260740750] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698533017.259287762] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533017.264542717] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533017.268475684] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533017.272139652] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533017.267004696] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698533017.271009662] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698533017.285605537] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698533017.297544435] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698533017.296965440] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698533017.300613409] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698533017.298460427] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533017.304040380] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533017.311144319] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698533017.314780288] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533017.314848287] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533017.324316206] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533017.329885159] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698533017.335189114] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533017.339326078] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533017.343260045] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533017.337891090] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533017.341559059] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698533017.344970030] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [nurse-4] [INFO] [1698533017.345418026] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533017.350194985] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698533017.354844946] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698533017.354489949] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533017.373915783] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533017.400887552] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533017.411312463] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533017.411816459] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533017.416314420] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698533017.425264344] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533017.431740289] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533017.432850279] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698533017.437316241] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533017.440326215] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533017.453147106] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698533017.457620067] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533017.463325019] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698533017.470502957] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698533017.482878852] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698533017.487238814] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533017.487689810] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533017.492696768] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533017.500710699] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698533017.504904663] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698533017.501819690] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533017.509894621] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698533017.510262618] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533017.514924578] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533017.530282447] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698533017.532792425] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533017.535062406] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698533017.536392394] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533017.548552290] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533017.551082269] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698533017.556416223] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533017.564574153] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533017.566252139] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698533017.580611016] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698533017.583941988] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698533017.585785972] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698533017.589300942] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533017.593916903] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533017.602641828] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698533017.605151807] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533017.609061773] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533017.619628683] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533017.626046628] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698533017.631657580] [robot]: Doing a_navto
