 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698542425.908027324] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542425.912868177] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542425.922921871] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698542425.927504732] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542425.924410826] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698542425.928209710] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698542425.932758572] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698542425.925234801] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542425.929711665] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542425.933712543] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542425.937488428] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542425.936136469] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542425.940340341] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542425.944090227] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698542425.947734116] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698542425.954567908] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542425.958759781] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542425.969425456] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698542425.973237340] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698542425.971126405] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542425.975110283] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542425.977361215] [robot]: success
