 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698540013.846601981] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698540013.855583168] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540013.862101304] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698540013.879346664] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698540013.886345810] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540013.897012033] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540013.899602087] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540013.914750403] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540013.913444376] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540013.921231538] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540013.932050764] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540013.935548837] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540013.944808030] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540013.951952179] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698540013.956182267] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540013.944811030] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540013.950100141] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540013.954281228] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698540013.958704320] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698540013.964525442] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698540013.967138496] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540013.971480587] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540013.970552567] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540013.980053766] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698540013.984990869] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698540013.989414961] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540013.998714155] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540014.001228208] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540014.012388440] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698540014.016228520] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540014.009856388] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540014.013939473] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540014.023362669] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540014.025635716] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540014.030749822] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540014.037999973] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698540014.036722947] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540014.042159060] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540014.047384169] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540014.054039307] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540014.064721529] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540014.072108683] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540014.080741863] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540014.085205956] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540014.095490170] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698540014.099315249] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540014.093673132] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698540014.097616214] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698540014.094342146] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540014.098269228] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540014.108543441] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540014.112050514] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540014.109089453] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540014.112812530] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540014.119730674] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698540014.124116766] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698540014.129701882] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540014.133392959] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540014.139060077] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540014.150597317] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698540014.154061389] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540014.147386250] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540014.151299331] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540014.161451543] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540014.164634609] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540014.169499710] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540014.171266747] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540014.179874926] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540014.185323039] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698540014.196438271] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540014.203443416] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698540014.205409457] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540014.208565523] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540014.214889655] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540014.222944822] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540014.233594044] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698540014.237032116] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698540014.245369289] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698540014.233427040] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540014.237036116] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540014.243678254] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540014.247937342] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540014.246495312] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698540014.250494396] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698540014.250828403] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540014.254994489] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540014.269462790] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540014.285757130] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540014.294880319] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698540014.300401434] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698540014.295081324] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540014.299653419] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540014.304171513] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540014.308010593] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540014.323269910] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540014.326445976] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698540014.329139032] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540014.339857256] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540014.358727648] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540014.366942819] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540014.370667897] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540014.374517977] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698540014.385750211] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540014.389947298] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540014.397697459] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540014.401840545] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540014.405344618] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540014.417401869] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698540014.425019028] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540014.429026111] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698540014.430813148] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698540014.433074196] [arm]: Action: a_pick_up_sample
