 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698534429.894822332] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [nurse-4] [INFO] [1698534429.896818275] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534429.879714767] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534429.903643079] [coordinator]: a_open_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698534429.905169035] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534429.909260917] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534429.912227832] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534429.922149546] [coordinator]: a_close_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698534429.923339512] [robot]: success
trials-all-1  | [coordinator-2] [INFO] [1698534429.928754356] [coordinator]: a_open_door,nurse1,Room3
trials-all-1  | [robot-6] [INFO] [1698534429.929348339] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698534429.935856152] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698534429.941842979] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534429.946506845] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534429.954761608] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698534429.958845490] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534429.959361475] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698534429.960235450] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534429.963075368] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534429.966630266] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534429.966757262] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534429.967212249] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698534429.976048995] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698534429.979036909] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534429.981802830] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534429.987612662] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698534429.987779658] [coordinator]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698534429.999482321] [robot]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534430.000063304] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534430.004804168] [robot]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534430.006692113] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534430.014776881] [coordinator]: Sending plans
trials-all-1  | [nurse-4] [INFO] [1698534430.022040672] [nurse]: Receiving message.
trials-all-1  | [coordinator-2] [INFO] [1698534430.025092584] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698534430.025411575] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698534430.027432517] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698534430.030769421] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534430.033643339] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698534430.036104268] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534430.037382231] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698534430.039329175] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698534430.042474085] [nurse]: a_deposit
