 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698541958.238550836] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541958.239459780] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541958.245020436] [coordinator]: a_open_door,nurse1,Room3
trials-all-1  | [nurse-4] [INFO] [1698541958.245709393] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541958.249308171] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541958.250192116] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698541958.254935822] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698541958.255195806] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541958.267143067] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541958.267340055] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541958.272260751] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541958.272780719] [robot]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541958.276964460] [coordinator]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698541958.286376878] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541958.291039589] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698541958.299100090] [robot]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698541958.286378877] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541958.293481438] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541958.297816170] [coordinator]: Sending plans
trials-all-1  | [arm-1] [INFO] [1698541958.286894845] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541958.302014910] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541958.303005849] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698541958.311165344] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698541958.318658881] [nurse]: Nurse's actions:
trials-all-1  | [coordinator-2] [INFO] [1698541958.311428328] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698541958.319598822] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698541958.322836622] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541958.324861497] [arm]: Arm's actions:
trials-all-1  | [environment-3] [INFO] [1698541958.325632449] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698541958.326991365] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541958.329878187] [arm]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698541958.330941121] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698541958.331141108] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541958.339613584] [robot]: Receiving message.
trials-all-1  | [coordinator-2] [INFO] [1698541958.342934379] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698541958.343874321] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698541958.347470098] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698541958.349679962] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541958.351301861] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698541958.356568535] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698541958.357387485] [nurse]: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698541958.358643407] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541958.364601039] [nurse]: a_open_door
trials-all-1  | [coordinator-2] [INFO] [1698541958.369173756] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698541958.374815407] [robot]: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698541958.376515302] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698541958.381466995] [nurse]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698541958.377574236] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [environment-3] [INFO] [1698541958.385633737] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698541958.387793604] [robot]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541958.397430008] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541958.402427699] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541958.403151654] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698541958.406066474] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698541958.414038980] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698541958.418967675] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698541958.419808623] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698541958.424029362] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698541958.427544145] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698541958.430732948] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541958.440269358] [robot]: a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698541958.444922070] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698541958.445099059] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541958.451563659] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698541958.459235184] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541958.464859837] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698541958.464931832] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698541958.473573298] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698541958.482397752] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541958.484533620] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541958.490281264] [robot]: Authenticate nurse
trials-all-1  | [arm-1] [INFO] [1698541958.493729051] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541958.500990601] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698541958.508419142] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698541958.516497642] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698541958.517639572] [arm]: Action: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698541958.520139417] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698541958.524633139] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698541958.528684888] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698541958.530394783] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698541958.534489529] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698541958.540155179] [nurse]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698541958.540163178] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698541958.552266430] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698541958.555537227] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698541958.557237122] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698541958.562249812] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541958.574111078] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541958.579470747] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541958.589614119] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698541958.595005786] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698541958.604551195] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698541958.609959861] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541958.623266038] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541958.630321601] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541958.636488220] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698541958.641443913] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698541958.649926388] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698541958.651086317] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698541958.655487044] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541958.668291252] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541958.674654859] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541958.680372505] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698541958.684901225] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698541958.694212649] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698541958.700700247] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541958.712807498] [nurse]: not ready
