 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698534927.490294741] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698534927.500098592] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698534927.502495556] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698534927.510369437] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534927.514590373] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534927.511032427] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698534927.514851369] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534927.519832293] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534927.524374225] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534927.528080168] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698534927.524218227] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534927.528000170] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534927.534729068] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534927.540350983] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534927.544282923] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534927.555657751] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698534927.564385619] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698534927.556264742] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534927.560491678] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534927.572694493] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698534927.575269454] [arm]: not ready
