 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698530969.102615552] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [environment-3] [INFO] [1698530969.105207625] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698530969.105788641] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530969.111408798] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530969.121987095] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698530969.125050181] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698530969.131981375] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530969.136645505] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698530969.140802622] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698530969.146789789] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530969.147138799] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530969.151803930] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530969.156103050] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530969.159420143] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698530969.161878212] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530969.163180249] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530969.167260363] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530969.178242670] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530969.182538791] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530969.182515790] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698530969.189931998] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530969.194315121] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530969.198361234] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698530969.203943390] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530969.211100591] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530969.214067674] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530969.219211818] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530969.224091955] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530969.225261987] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530969.233344214] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530969.233485218] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530969.237937342] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530969.242026457] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530969.247438609] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698530969.248333634] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530969.252803759] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530969.259930959] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530969.265311109] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530969.265848124] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530969.270076243] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698530969.272922322] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530969.278119468] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530969.289238779] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530969.294335922] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530969.304007193] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530969.309684352] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530969.315451514] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530969.321159674] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530969.331075951] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530969.336581105] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530969.331231956] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530969.336125093] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530969.342631275] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530969.344715333] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698530969.351458522] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698530969.357967704] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530969.359903759] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530969.365327911] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530969.369088016] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698530969.379351303] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698530969.384388445] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530969.395517756] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530969.396775791] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698530969.401684929] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530969.406909075] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530969.415684321] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530969.419344424] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530969.420459455] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530969.427736659] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698530969.429039695] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530969.433246813] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530969.441559046] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530969.442513073] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530969.449939281] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530969.454718414] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698530969.455163427] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530969.459116538] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698530969.461800613] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698530969.467304767] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530969.468420798] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698530969.469874839] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530969.472461911] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530969.482599195] [nurse]: not ready
