 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698531238.311125583] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698531238.313582637] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531238.331031017] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531238.337145150] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531238.342994277] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531238.350287436] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531238.356523572] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531238.358115606] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531238.368265827] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531238.374208957] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531238.382458136] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531238.383819166] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531238.388314264] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531238.392252350] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531238.394978409] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531238.398897494] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531238.406659663] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698531238.410670751] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531238.414382831] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531238.410482747] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531238.414323830] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531238.421825993] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531238.425508074] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698531238.433854255] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531238.437704339] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531238.446571532] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531238.450301613] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531238.422506008] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531238.426896104] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531238.435174284] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698531238.438913365] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698531238.443405463] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698531238.447266547] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698531238.449704600] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531238.465849952] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698531238.468119001] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698531238.478633230] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531238.485271375] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531238.491192504] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531238.497286636] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531238.504175786] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698531238.504394791] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531238.515784039] [robot]: Action: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698531238.515843040] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698531238.522641188] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531238.529074328] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698531238.529637341] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531238.536887498] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531238.536728495] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531238.541436598] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531238.549138765] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531238.554641885] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531238.560754018] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531238.564199093] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531238.566784149] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531238.574992328] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698531238.579927435] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531238.581251464] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531238.588236616] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531238.594463752] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531238.607337032] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698531238.614604190] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698531238.618806282] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531238.616720237] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698531238.621188334] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531238.631474558] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698531238.638654714] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531238.641259771] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698531238.650000961] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698531238.660488189] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531238.665675302] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698531238.675471516] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698531238.679515604] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531238.676702542] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531238.680744630] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531238.684347709] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531238.687958787] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531238.693521909] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531238.701614085] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698531238.705281165] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531238.702968114] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531238.706959201] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531238.710705283] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531238.728807677] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531238.738442887] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531238.743237991] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531238.758961333] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531238.763034422] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531238.775955703] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531238.780386800] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531238.793332082] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531238.796653154] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531238.808390409] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531238.814043532] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531238.817352604] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698531238.826026793] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531238.830502891] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531238.834280973] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698531238.833031946] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531238.836629024] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531238.851597350] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531238.855267430] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531238.863620612] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531238.865775659] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531238.874016838] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531238.882559024] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531238.883019034] [coordinator]: Receiving sync message: action_complete,a_close_drawer
