 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698536429.352870198] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536429.356932300] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536429.361500416] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536429.365290511] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698536429.371627671] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536429.375847777] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536429.378595846] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698536429.380329890] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536429.384235989] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698536429.386363042] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536429.388882106] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698536429.392256191] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536429.395782280] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698536429.396002285] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698536429.399372370] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698536429.400894408] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698536429.405351521] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536429.407193567] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698536429.411579678] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536429.423777985] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536429.426920064] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536429.435103271] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536429.438721362] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698536429.444415505] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698536429.449820642] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536429.450856668] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698536429.460887920] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536429.463505986] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698536429.469260131] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536429.472123204] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698536429.483085480] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536429.485953552] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698536429.490226660] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698536429.492541718] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536429.496119808] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698536429.501561946] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536429.513246240] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698536429.519313393] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536429.523128489] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536429.516796330] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536429.520703428] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536429.524963535] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698536429.525640552] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698536429.533783758] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536429.535679805] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698536429.545623056] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698536429.549680158] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698536429.549398151] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698536429.544641031] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536429.553069244] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536429.559034394] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536429.563841515] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536429.572353730] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536429.579763917] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536429.585420059] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698536429.589338158] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698536429.587541113] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698536429.604242534] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536429.607214608] [robot]: Doing a_deposit
