 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [environment-3] [INFO] [1698529656.023051691] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698529656.028524769] [environment]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698529656.030833802] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529656.041601956] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529656.048125049] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698529656.049391067] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698529656.058386196] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529656.064978290] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529656.077875474] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529656.078361481] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698529656.084104563] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698529656.084629571] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529656.089606642] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529656.094379710] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529656.094401711] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529656.098637771] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529656.102320824] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529656.110656943] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698529656.111812960] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529656.116669029] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529656.123643129] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698529656.132361253] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529656.134183279] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529656.136981319] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529656.139020348] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529656.141764388] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698529656.149321496] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529656.153198551] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529656.150549513] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529656.154269566] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529656.161121664] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529656.161686673] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529656.165917733] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529656.170094793] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529656.174134850] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529656.173616843] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529656.194316139] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529656.209003349] [robot]: Doing a_authenticate_nurse
