 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698542130.370018878] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542130.370110874] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698542130.374307673] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542130.374570660] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542130.379876406] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542130.382439283] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698542130.385494137] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542130.385524136] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542130.390277908] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698542130.390380903] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542130.394737695] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698542130.396312619] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698542130.398978491] [nurse]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698542130.404687218] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542130.408192050] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542130.413018819] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542130.423159334] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698542130.423411322] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698542130.428532076] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698542130.433315847] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698542130.434002815] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542130.440438506] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542130.441991432] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698542130.442349415] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698542130.445597259] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542130.446067237] [robot]: Deposit
trials-all-1  | [environment-3] [INFO] [1698542130.448225134] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698542130.456232750] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698542130.463884384] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698542130.465200321] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542130.465403311] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542130.479942615] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698542130.482429496] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698542130.485689340] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542130.502644528] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698542130.509507199] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698542130.512960034] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698542130.514861943] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542130.528490290] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698542130.535066976] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542130.546996404] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698542130.546466430] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698542130.549626279] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542130.553426097] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698542130.558124872] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698542130.570789265] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698542130.577829928] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698542130.580296810] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542130.588928397] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542130.597732975] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542130.610902345] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698542130.613771207] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698542130.615112143] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698542130.619027956] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542130.634711205] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698542130.640840911] [robot]: Doing a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698542130.645576684] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698542130.648705535] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542130.650746437] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542130.663970804] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698542130.666103702] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542130.680311021] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698542130.680653005] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698542130.685551770] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542130.686451727] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698542130.699190117] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698542130.700739043] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542130.702788945] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542130.708971649] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698542130.716333297] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698542130.723497954] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698542130.729409671] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542130.735436382] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542130.742829028] [coordinator]: plans_actions_current 6 of 11
