 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [environment-3] [INFO] [1698539450.863199642] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698539450.869311558] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698539450.870061548] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539450.886684320] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539450.892766236] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698539450.894901207] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698539450.897953165] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698539450.899099149] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539450.916087916] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698539450.919945863] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698539450.923565813] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698539450.918602881] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539450.922839823] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539450.920606854] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698539450.924053806] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698539450.942407554] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698539450.946560497] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698539450.943203544] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539450.946873493] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698539450.954724385] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698539450.955899369] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698539450.959368322] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698539450.962149283] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698539450.976083092] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698539450.977963066] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539450.981550017] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698539450.989751904] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539450.990993887] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698539450.991873875] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698539450.995081831] [environment]: Action: monitor
