 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698540279.348401718] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540279.354848799] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540279.355374805] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540279.358602846] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540279.365760936] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540279.372571021] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698540279.382645148] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698540279.388714224] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540279.392281269] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540279.390415246] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698540279.394915302] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698540279.391546260] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698540279.395603311] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698540279.400270370] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.404802427] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540279.406569449] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698540279.414473548] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698540279.416593575] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540279.421149632] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540279.416977580] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698540279.421462636] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540279.434889805] [robot]: Action: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698540279.441471888] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698540279.449942995] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698540279.455866069] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540279.459584116] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698540279.463397164] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540279.457598091] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540279.461936145] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540279.469180236] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540279.472873283] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540279.471117261] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.474663305] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540279.482379402] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540279.486243451] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540279.484724432] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540279.486790458] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540279.488187476] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540279.501174639] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540279.509424743] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698540279.509986750] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540279.516819836] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540279.525586946] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540279.529181991] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698540279.541513146] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698540279.542559159] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698540279.549440246] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.553251294] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540279.550597260] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698540279.555063317] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.568038480] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540279.575230570] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540279.575515574] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540279.579323622] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540279.582997668] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698540279.586668714] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540279.580028631] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540279.583686677] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540279.587416724] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698540279.593692802] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540279.597813854] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.606468963] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.610365012] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540279.614858069] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540279.619951133] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540279.624095185] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540279.633806307] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698540279.638766369] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540279.642710419] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540279.645449453] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698540279.649883509] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698540279.658365616] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540279.666725721] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540279.654883572] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698540279.658443617] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540279.670460768] [robot]: not ready
