 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698535060.256018043] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535060.261079001] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535060.269089933] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535060.273658895] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535060.282898818] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535060.287131782] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535060.288754769] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698535060.289269764] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535060.292706735] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698535060.299771676] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698535060.301554661] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535060.308782601] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698535060.315834542] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535060.318876516] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698535060.323131480] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535060.327454444] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535060.328869432] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698535060.338432352] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535060.338851349] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698535060.342287320] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535060.350133254] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698535060.351057246] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535060.355502209] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535060.360890164] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698535060.368512100] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535060.373049062] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698535060.378014020] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535060.384626965] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535060.388342934] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535060.388758930] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698535060.394845879] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698535060.396495865] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535060.410290750] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535060.414532714] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698535060.414608714] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698535060.418605680] [arm]: Doing a_pick_up_sample
