 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698528415.380895856] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528415.391511070] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528415.392820097] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698528415.398028202] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528415.398277207] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528415.411358470] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698528415.415334551] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528415.417263590] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528415.420817661] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528415.427388794] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698528415.437747003] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698528415.443832125] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528415.449143233] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528415.451911288] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698528415.456172374] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528415.465788568] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698528415.469246638] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698528415.470330660] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528415.475075756] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528415.479897853] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698528415.480480865] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528415.483035916] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698528415.484927954] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528415.492796113] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528415.497892216] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528415.497946217] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528415.502602311] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698528415.506397387] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698528415.514557552] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528415.514685554] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528415.525430771] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528415.539964064] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528415.545103168] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698528415.550095269] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528415.554795363] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528415.559575460] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528415.567782625] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698528415.572016711] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528415.573226735] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528415.580386880] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528415.586788009] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698528415.590107076] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528415.591071095] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528415.595291180] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698528415.600822292] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528415.602716330] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528415.604564367] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528415.606217401] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528415.613165541] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528415.617350625] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528415.622155722] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698528415.625720794] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698528415.626875817] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528415.638365049] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528415.641406110] [robot]: Action: a_authenticate_nurse
