 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698535898.738496401] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698535898.741193431] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698535898.751450548] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535898.752086555] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698535898.756048600] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535898.761918667] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698535898.765706710] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535898.767230728] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535898.769106749] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698535898.772988793] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535898.780180875] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535898.786472947] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535898.793160023] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535898.793204023] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535898.797984078] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535898.816073284] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535898.813856258] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698535898.820146330] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535898.823845372] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535898.834650495] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535898.837505528] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698535898.847677643] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698535898.853021704] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535898.853413709] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698535898.855346731] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535898.865289844] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535898.865741849] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535898.869360890] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698535898.876949976] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535898.880314015] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698535898.884759065] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535898.894803180] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698535898.898661224] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535898.904798293] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535898.909067342] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535898.917570439] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535898.921468483] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535898.917867442] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535898.921834487] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535898.930662588] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698535898.932377607] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535898.936015649] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698535898.942182719] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698535898.944561746] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535898.949132798] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698535898.953699850] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535898.960006922] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535898.963823965] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698535898.971929057] [coordinator]: action_complete
