 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698532352.284351021] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532352.290270114] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532352.290841123] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698532352.301102286] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532352.304865345] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698532352.301337289] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532352.304950347] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532352.309426417] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532352.317915552] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532352.322523625] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532352.318257557] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532352.325420670] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532352.334681817] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532352.339107887] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532352.349323049] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532352.356051155] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532352.359965217] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532352.362164252] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532352.373684434] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532352.378069503] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532352.384562606] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532352.388723672] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532352.393970755] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532352.403694909] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532352.410288013] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698532352.414410078] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532352.420954182] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698532352.428278298] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532352.431921355] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532352.431942356] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698532352.435859418] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698532352.440290488] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532352.435998420] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532352.443870544] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532352.444360552] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532352.457657763] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532352.464587872] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532352.473729017] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532352.474455028] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698532352.475391043] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532352.479017101] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698532352.479588110] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532352.482280152] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532352.492816319] [nurse]: not ready
