 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [environment-3] [INFO] [1698527263.260621604] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698527263.265124030] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698527263.274294899] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698527263.281580588] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698527263.284436859] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698527263.299111248] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698527263.299395275] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698527263.303672680] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698527263.303905702] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527263.308536140] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698527263.313808639] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698527263.323791584] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698527263.327164904] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698527263.331525316] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698527263.333502503] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698527263.334690616] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698527263.336232762] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698527263.339932112] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698527263.340614177] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698527263.344768570] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698527263.348782950] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698527263.354901529] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698527263.365456528] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698527263.369720932] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698527263.374033340] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698527263.381111010] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698527263.390300880] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527263.394183248] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527263.390441894] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527263.394183248] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527263.405867354] [robot]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698527263.413772102] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527263.418238525] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527263.415128231] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698527263.419240620] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527263.415156233] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698527263.426255284] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527263.427908440] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698527263.434082025] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698527263.437743371] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698527263.442101784] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698527263.442247798] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527263.445831137] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527263.456733169] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527263.457673258] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527263.463909848] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527263.464413896] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698527263.467141154] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698527263.471551572] [environment]: Action: a_approach_nurse
