 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698536160.434653651] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536160.438663700] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536160.444260768] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698536160.447942813] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698536160.438961704] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698536160.448245817] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536160.454800897] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698536160.473746129] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698536160.476232159] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698536160.482577237] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536160.491240343] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536160.497312417] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536160.501035463] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536160.497433419] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698536160.501060463] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698536160.516473652] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698536160.520659703] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698536160.523979743] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698536160.516697654] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536160.520466700] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536160.523963743] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536160.536183893] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698536160.544755997] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536160.553458104] [coordinator]: Receiving sync message: action_complete,a_close_drawer
