 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698532490.594120003] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698532490.599682055] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532490.597644036] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532490.600024058] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532490.610964161] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532490.619939246] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532490.626343306] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532490.630789348] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532490.635152389] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532490.639329428] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698532490.642704460] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532490.635780395] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532490.639684431] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532490.643119464] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532490.653838564] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698532490.654721573] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532490.660263625] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698532490.665265672] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532490.669363710] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532490.672824743] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698532490.670404720] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698532490.674296757] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532490.679767808] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532490.685884866] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532490.685201859] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698532490.685967866] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698532490.693732939] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698532490.704932045] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532490.709300086] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698532490.713857129] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698532490.716474153] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532490.720602192] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532490.723978224] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532490.718240170] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532490.722121206] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532490.729575276] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532490.744402416] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698532490.751175479] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698532490.765481614] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698532490.770511661] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698532490.773198686] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532490.783721785] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532490.782070770] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532490.785872805] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532490.793567878] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532490.797897919] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532490.812925060] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532490.822425149] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532490.823813162] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698532490.828969211] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698532490.829253213] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532490.835920276] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698532490.837356289] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532490.853860445] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532490.865336552] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532490.869281590] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698532490.869928596] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532490.879548686] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532490.894410826] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698532490.899575874] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532490.913007001] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532490.916110030] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698532490.923929103] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532490.932084180] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698532490.934138199] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532490.937307229] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698532490.947638326] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532490.952721374] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532490.958653430] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532490.961502456] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698532490.967038509] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698532490.977085603] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532490.978394615] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698532490.981282642] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532490.984122669] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532490.989481719] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532490.993946761] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532491.001852836] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532491.006304878] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532491.010919921] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532491.015672965] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532491.020894014] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [robot-6] [INFO] [1698532491.022296027] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532491.027228073] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532491.035966155] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532491.038321177] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698532491.041005202] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532491.045631245] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532491.049305279] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698532491.049846285] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532491.055823340] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532491.067307448] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532491.075065520] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532491.083079595] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698532491.089770658] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532491.095444711] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698532491.101345766] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532491.106861817] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698532491.113434879] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532491.116186905] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532491.127362009] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532491.130979043] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532491.129093025] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698532491.132615058] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698532491.147286195] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532491.148906210] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698532491.159549310] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698532491.165012361] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532491.168595394] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532491.175119455] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698532491.186707564] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [arm-1] [INFO] [1698532491.180827509] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532491.188858584] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698532491.190389598] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532491.196285653] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698532491.208485767] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532491.213924818] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532491.217720854] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532491.221552890] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532491.230328972] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532491.234415010] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532491.249442150] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532491.254302196] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532491.255372206] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698532491.264950295] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532491.269052333] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532491.271960361] [arm]: Action: a_pick_up_sample
