 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698541294.671896572] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541294.675933576] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698541294.678498579] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698541294.683090583] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698541294.688814589] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698541294.702761603] [coordinator]: a_close_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698541294.708073608] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698541294.711211611] [coordinator]: Sending plans
trials-all-1  | [robot-6] [INFO] [1698541294.713354613] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541294.717763617] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541294.726817626] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698541294.730871630] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541294.731665631] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698541294.736341635] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698541294.738074637] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698541294.744773644] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698541294.748710648] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698541294.748712648] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698541294.752842652] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698541294.764376663] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541294.752956652] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698541294.756622655] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698541294.760726659] [robot]: a_navto
