 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698539489.743331559] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539489.748874509] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539489.750659494] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539489.754446460] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539489.754539459] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539489.774353283] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.778026250] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539489.776739261] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539489.781896215] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698539489.782476210] [environment]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698539489.794778101] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.805648004] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698539489.810247963] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539489.806756994] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539489.810774958] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539489.820611871] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539489.827792807] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698539489.830446783] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698539489.834018751] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698539489.841735683] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539489.845708647] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698539489.853382579] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698539489.842436676] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.864828477] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698539489.868334446] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698539489.872551408] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539489.865349472] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539489.869122439] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539489.879282348] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539489.883780308] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539489.871031422] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698539489.881647327] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539489.885464293] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698539489.888017270] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698539489.894072217] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698539489.900203162] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539489.904790121] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.900483159] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.905167118] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698539489.916284019] [coordinator]: plans_actions_current 2 of 11
