 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698528276.145461682] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528276.152491854] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528276.157204970] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528276.159586028] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528276.166509198] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528276.167014211] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698528276.169806279] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698528276.185302660] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528276.190535788] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698528276.192783843] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528276.197272954] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528276.204130122] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528276.211633306] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698528276.211867312] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528276.214470376] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528276.226180663] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528276.227822704] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698528276.228762727] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698528276.231989806] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528276.234187860] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698528276.235451891] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528276.240853023] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698528276.242756070] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528276.246218155] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528276.250943271] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528276.260691510] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528276.263807587] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528276.268038691] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528276.277709928] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698528276.279918982] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528276.282463045] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698528276.286797151] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528276.293678320] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528276.303974573] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528276.308859693] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528276.308861693] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528276.313342803] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698528276.317915915] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698528276.318798937] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528276.322472027] [robot]: Authenticate nurse
trials-all-1  | [arm-1] [INFO] [1698528276.329143191] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528276.331548250] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698528276.335555348] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528276.339774452] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528276.345487592] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528276.350462714] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528276.356692867] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698528276.360669965] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698528276.364974071] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528276.367857141] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528276.377494378] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528276.381962488] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528276.382909511] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528276.389185665] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698528276.389521673] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528276.394061785] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528276.398784901] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528276.404079031] [nurse]: not ready
