 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698529482.440891825] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529482.446815925] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698529482.449760975] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529482.454167050] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529482.454238051] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529482.468208288] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529482.471976352] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529482.476434428] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529482.469562311] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529482.473458377] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529482.482844536] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698529482.485752586] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529482.491705687] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529482.486924605] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698529482.491703686] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529482.502055862] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529482.507443953] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529482.506882944] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529482.518319138] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529482.518511141] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529482.525416258] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529482.529100321] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529482.527837299] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698529482.531948369] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698529482.527870300] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529482.532117372] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529482.539832503] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529482.544921589] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529482.550965691] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698529482.553178729] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698529482.553373732] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529482.559599838] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529482.576618127] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698529482.577045134] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529482.576561126] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698529482.581799214] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529482.586525295] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529482.592901403] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529482.595591448] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698529482.595908454] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529482.604069592] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529482.607702654] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698529482.611389716] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698529482.613243748] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529482.613686755] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698529482.618992845] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529482.619058846] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529482.619336851] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [environment-3] [INFO] [1698529482.627016981] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529482.628179001] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
