 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698537356.327825326] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537356.331893454] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537356.328489347] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537356.332717480] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537356.341054743] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537356.341228748] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537356.351054058] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537356.354048152] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537356.359077311] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537356.367861588] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537356.369451638] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537356.370975686] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537356.373520766] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537356.387261199] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537356.395839469] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537356.399968599] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698537356.402767688] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537356.409891912] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537356.410606935] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537356.421254270] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698537356.430895574] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698537356.433872668] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537356.437060768] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698537356.441719915] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537356.442420937] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537356.452761263] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537356.458889456] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537356.460685513] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698537356.462458569] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698537356.463226593] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537356.472485885] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537356.476020996] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537356.479508106] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537356.476750019] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698537356.483679237] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537356.489430419] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698537356.495832620] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537356.500040753] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537356.501586802] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537356.504675899] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537356.513081164] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537356.513199168] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537356.517123291] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698537356.518525335] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698537356.521088416] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537356.524993539] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537356.531702751] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537356.534872851] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537356.536319896] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537356.545742193] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537356.545795195] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698537356.549610315] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537356.563254745] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698537356.569740949] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537356.573714075] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537356.571956019] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537356.576116150] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537356.585921459] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698537356.593285691] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698537356.597349819] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537356.600905931] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537356.607498139] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537356.611826276] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537356.617787463] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698537356.620830559] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537356.624320669] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537356.627770778] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537356.632183917] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698537356.633729966] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537356.640296173] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537356.644539306] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537356.644672311] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537356.653053575] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698537356.653497589] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537356.657152704] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537356.657657720] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698537356.660716816] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698537356.663982919] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537356.665268960] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698537356.671716163] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698537356.676225305] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537356.679106396] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537356.688425689] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537356.691429784] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698537356.693280842] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537356.696529945] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698537356.701041087] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698537356.705282221] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537356.712531449] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537356.713401477] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537356.717536607] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537356.723337790] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698537356.725572860] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537356.731875059] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537356.736334199] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537356.740552332] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698537356.743811435] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537356.753560742] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698537356.758193888] [robot]: Deposit
trials-all-1  | [arm-1] [INFO] [1698537356.758870909] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537356.768368209] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698537356.773675376] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537356.776663470] [nurse]: success
