 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698528645.173311590] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698528645.174577605] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528645.177591641] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528645.181577689] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528645.185960742] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528645.183168708] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528645.195178852] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528645.201169924] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528645.199502904] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528645.217208116] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528645.222345178] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698528645.222641181] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528645.228793255] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528645.233366310] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528645.233625313] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528645.246578468] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528645.248385490] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698528645.250191512] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698528645.250810519] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528645.254914568] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698528645.258030606] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528645.259423622] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528645.265110691] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528645.268765734] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528645.269376742] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528645.273159787] [environment]: Responding
