 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698540539.699876067] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540539.700041069] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540539.704731102] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698540539.708626131] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698540539.711008148] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698540539.714149171] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698540539.714842176] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540539.723623239] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540539.727866270] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540539.732373303] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540539.734862321] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540539.739103351] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540539.745328396] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698540539.748860422] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698540539.749430426] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540539.763334527] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698540539.773290599] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540539.777122627] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540539.781320657] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698540539.784298678] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540539.788852711] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540539.796027763] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540539.798471781] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540539.805548832] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540539.814929900] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698540539.815415904] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540539.825044973] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540539.833537035] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540539.837326062] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698540539.833635036] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698540539.837572064] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698540539.835093046] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540539.839242076] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540539.848455143] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540539.853189177] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540539.862474244] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540539.865692268] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540539.870128300] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540539.875362338] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540539.884887407] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540539.892831464] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540539.896564491] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698540539.884845406] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540539.888888436] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540539.894544477] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540539.898356504] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540539.904752550] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540539.911008596] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540539.916105633] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540539.921379671] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540539.925764703] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698540539.932267750] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540539.940870812] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698540539.945461845] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540539.951975892] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540539.953315902] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698540539.965955993] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540539.966581998] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540539.968221010] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540539.974598056] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540539.978457084] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540539.976616071] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698540539.983265119] [arm]: Doing a_pick_up_sample
