 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698541065.494592892] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541065.496665869] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541065.508576734] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541065.508791732] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541065.512993684] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541065.514046672] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541065.518851618] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541065.523517565] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698541065.519301613] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541065.522804573] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541065.535601429] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541065.542027356] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541065.546062310] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541065.553846222] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698541065.565971085] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698541065.576232969] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698541065.579369933] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698541065.584396877] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698541065.589875815] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541065.590937803] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698541065.597666726] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541065.609705590] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541065.613879543] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541065.613077552] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698541065.616465514] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698541065.623151438] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541065.633182325] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698541065.634370311] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541065.637367277] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541065.642244222] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698541065.641273233] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541065.645352187] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698541065.643692206] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698541065.649486140] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698541065.652872102] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698541065.656638059] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698541065.661731002] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541065.673774866] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698541065.679050806] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541065.674114862] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541065.678113816] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541065.685568732] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541065.689301690] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541065.688136703] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541065.692669652] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541065.700951558] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698541065.702751538] [robot]: Action: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698541065.705596506] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698541065.719570348] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541065.728264249] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541065.737318147] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698541065.746137047] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698541065.749921004] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541065.739222125] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541065.743266080] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541065.747896027] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541065.751609985] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541065.759973891] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541065.766417818] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541065.770115776] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698541065.780450659] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698541065.792488523] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541065.796142481] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698541065.796733475] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698541065.802614408] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541065.812590295] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698541065.817079245] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698541065.815248265] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698541065.819176221] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541065.816699249] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541065.820638204] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541065.824112165] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541065.827160131] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541065.836145029] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541065.847852896] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698541065.837105018] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698541065.843654944] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541065.849468878] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698541065.861080747] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698541065.862810727] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698541065.867089679] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698541065.883410494] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541065.895500357] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541065.899125316] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541065.896945341] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698541065.902666276] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698541065.908969205] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541065.912729163] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541065.910699186] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698541065.923057046] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698541065.934887912] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698541065.937251885] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541065.948250761] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698541065.951789721] [robot]: Doing a_deposit
