 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698528961.564894949] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528961.568984107] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528961.568511088] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [environment-3] [INFO] [1698528961.568511088] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698528961.575765368] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698528961.583124652] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528961.588965877] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698528961.589195886] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528961.597007188] [arm]: success
trials-all-1  | [coordinator-2] [INFO] [1698528961.597313199] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698528961.597438204] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528961.608994650] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698528961.616227929] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528961.620750103] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528961.609140656] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528961.630812491] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528961.635115657] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528961.611252737] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528961.617014959] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528961.631447516] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528961.629333434] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698528961.638077772] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698528961.643749990] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528961.642566945] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528961.647762145] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698528961.660255627] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528961.662599718] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528961.666248858] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698528961.671495061] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698528961.673144124] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528961.677018274] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698528961.678808343] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528961.682858499] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528961.696946042] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698528961.704124319] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528961.706866425] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528961.711003585] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528961.715006739] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528961.710515566] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528961.717254826] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528961.730853350] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528961.736402564] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528961.746264945] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698528961.749590073] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698528961.752649191] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528961.755757311] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528961.757950395] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698528961.768568805] [coordinator]: plans_actions_current 2 of 11
