 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698528134.637541566] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528134.641444091] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528134.645703756] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698528134.650116480] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528134.657647422] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528134.661881077] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528134.668488659] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528134.668523672] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698528134.673063446] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528134.673472606] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698528134.677296100] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528134.687054913] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698528134.688181353] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698528134.689474859] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698528134.695980401] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528134.697482988] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528134.705275032] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528134.709522692] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528134.711778574] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528134.717610852] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528134.720406945] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528134.721860513] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528134.727019529] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528134.731098122] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528134.746276053] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528134.746807260] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698528134.751635147] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528134.754226159] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698528134.767303269] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698528134.769864270] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528134.773494688] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528134.781985006] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698528134.792508117] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698528134.795806406] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698528134.797583100] [arm]: Action: a_pick_up_sample
