 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698530055.521341903] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698530055.527562935] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530055.527808937] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530055.533102964] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530055.538818994] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698530055.539112996] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530055.545137028] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530055.551305060] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530055.553231070] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698530055.557011090] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530055.559933105] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530055.570324160] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698530055.575448187] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530055.577525198] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530055.583180227] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530055.584448234] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530055.590643267] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698530055.595303291] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530055.600975321] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698530055.602295328] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530055.606197348] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530055.610882373] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698530055.611001374] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530055.620220422] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530055.622213432] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530055.638194516] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698530055.643077542] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698530055.646551560] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530055.658281622] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698530055.658734624] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530055.664306654] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530055.670124684] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530055.671506691] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698530055.681339743] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698530055.683978757] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530055.687685776] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530055.693751808] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530055.697735829] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530055.700226842] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698530055.701173847] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530055.705932872] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698530055.712364906] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530055.723009962] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530055.728071989] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530055.733973020] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530055.735890030] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530055.741130057] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530055.744507075] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530055.757919145] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530055.763658176] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530055.770043209] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530055.771074214] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698530055.775678239] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530055.781402269] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530055.788392305] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698530055.795883345] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698530055.805796397] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698530055.810647422] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530055.816267452] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698530055.820338473] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530055.823842492] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530055.835152551] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530055.846577611] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530055.848654622] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530055.858204672] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530055.859455679] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530055.864820707] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530055.870396736] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530055.878688780] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530055.885755817] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530055.889869839] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530055.899264888] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530055.904432915] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530055.910166945] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530055.915511973] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530055.921422004] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530055.925482026] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530055.935618079] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530055.942418115] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530055.949379151] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530055.956317188] [arm]: Doing a_pick_up_sample
