 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698536028.442073684] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.451257721] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.455749739] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536028.464757775] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698536028.469345794] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698536028.475782819] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536028.480165837] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.481115841] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698536028.481680843] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698536028.485307857] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698536028.485658859] [environment]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698536028.494639895] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536028.499230913] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536028.507062945] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536028.511283961] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536028.515581979] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536028.520005996] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698536028.522425006] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698536028.533754051] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.541690083] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536028.545796100] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536028.554181133] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536028.557838148] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.560343158] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536028.569675195] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536028.574223214] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536028.581682243] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536028.585407258] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536028.582067245] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698536028.585632259] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698536028.595582299] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536028.599646315] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.608638351] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.613229370] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536028.613262370] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536028.617031385] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.631188442] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536028.637748468] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536028.633520451] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536028.637701468] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536028.653145530] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698536028.656656544] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536028.662963569] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536028.666805584] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.675220618] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698536028.679579635] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698536028.679727636] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536028.683433651] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536028.685142658] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536028.696900705] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.699139714] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536028.708594752] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536028.710378759] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698536028.714485775] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698536028.716443783] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536028.720822801] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536028.724216814] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698536028.730042838] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698536028.727444827] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698536028.728607832] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536028.731198842] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536028.735532860] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536028.747936909] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698536028.752223926] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536028.758526952] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536028.769086994] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536028.773054010] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536028.772011006] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536028.776079022] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.785547060] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.789751077] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536028.786546064] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536028.791836085] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536028.793314091] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536028.794497096] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536028.798508112] [robot]: Doing a_authenticate_nurse
