 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698537760.442342721] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698537760.449010846] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698537760.450352871] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537760.454038940] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537760.458368021] [robot]: Action result: True
trials-all-1  | [planner-5] [INFO] [1698537760.458511024] [planner]: a_open_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698537760.465493155] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537760.466723178] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698537760.467957201] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698537760.468844218] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698537760.474798330] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537760.479141411] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537760.480121429] [coordinator]: action_complete
trials-all-1  | [planner-5] [INFO] [1698537760.481363453] [planner]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537760.484958520] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698537760.487779573] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698537760.489483605] [planner]: a_open_door,nurse1,Room3
trials-all-1  | [robot-6] [INFO] [1698537760.496914745] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698537760.497443755] [planner]: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698537760.508681965] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698537760.511919026] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698537760.516425111] [arm]: Action result: False
trials-all-1  | [planner-5] [INFO] [1698537760.520259183] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698537760.520493187] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537760.529679359] [nurse]: not ready
trials-all-1  | [planner-5] [INFO] [1698537760.529876363] [planner]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698537760.530367372] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698537760.533945439] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537760.536327484] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698537760.537450505] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537760.541577583] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698537760.544736642] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [arm-1] [INFO] [1698537760.546061667] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537760.549675735] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698537760.551181763] [planner]: a_close_drawer,robot1
trials-all-1  | [environment-3] [INFO] [1698537760.555002835] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698537760.555242839] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537760.558013891] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537760.561836963] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698537760.558226895] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698537760.566525051] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [robot-6] [INFO] [1698537760.569157100] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698537760.570607127] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_open_door,nurse1,Room3/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [environment-3] [INFO] [1698537760.574764205] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698537760.578587277] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537760.585477406] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698537760.586676429] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537760.588264459] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698537760.589793487] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698537760.592905546] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537760.593690560] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698537760.597478632] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537760.606658804] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537760.607269815] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698537760.610564877] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537760.611773900] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698537760.612617916] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537760.619973054] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698537760.624234134] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537760.626221171] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537760.629043224] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537760.634815332] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537760.636809370] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698537760.638154395] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537760.641127451] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698537760.642343473] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537760.645153526] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537760.652227659] [coordinator]: a_close_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698537760.653604685] [robot]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537760.656341736] [coordinator]: a_open_door,nurse1,Room3
trials-all-1  | [robot-6] [INFO] [1698537760.658044768] [robot]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537760.662088844] [coordinator]: a_navto,robot1,Room3
