 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698534078.316685617] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698534078.332996348] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534078.334490324] [nurse]: success
trials-all-1  | [coordinator-2] [INFO] [1698534078.338265261] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [robot-6] [INFO] [1698534078.341241212] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534078.350804055] [nurse]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698534078.359140918] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698534078.362225867] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534078.373577680] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698534078.380272569] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698534078.381584548] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534078.389309421] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534078.406253142] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534078.410301075] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534078.415389991] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534078.418944933] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534078.427180797] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534078.431319729] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534078.439201599] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534078.443098535] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534078.440172583] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534078.443654526] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534078.459710261] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
