 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698534647.180926129] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698534647.185279036] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698534647.190282929] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534647.197348778] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698534647.204232632] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534647.211306481] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534647.215282396] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534647.217884341] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534647.223004231] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698534647.225613176] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534647.231015061] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534647.237020933] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534647.239354883] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534647.251912615] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698534647.257255501] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534647.260085441] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698534647.264132355] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698534647.263934359] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534647.267971273] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534647.281174991] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534647.286434879] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534647.303190522] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534647.288238841] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698534647.306165459] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698534647.321079141] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534647.330961930] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534647.338726764] [robot]: not ready
