 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698527996.286179919] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698527996.286316918] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527996.290734893] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527996.291012891] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698527996.298279851] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698527996.303095824] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527996.307847797] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698527996.313717764] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527996.322672714] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527996.332710658] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698527996.338749624] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698527996.342436603] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698527996.348619569] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527996.350629557] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527996.363035488] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527996.374699422] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527996.378365402] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698527996.389105342] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527996.391526328] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527996.401962270] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527996.408554233] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527996.420304167] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698527996.437303072] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698527996.440570053] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527996.448216010] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698527996.453200982] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698527996.450587997] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698527996.455101972] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698527996.452407987] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527996.456450964] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698527996.459352948] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698527996.469469891] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527996.493128759] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527996.497787733] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698527996.502396707] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527996.471549880] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698527996.475638857] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698527996.488980782] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698527996.506494684] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698527996.493735755] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527996.498045731] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527996.502806704] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698527996.514283640] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527996.515378634] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527996.520228607] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527996.523764587] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698527996.530145551] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527996.530200551] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698527996.541272489] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698527996.544023473] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527996.559729385] [arm]: Action: a_pick_up_sample
