 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [environment-3] [INFO] [1698532978.393725303] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698532978.397705252] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698532978.400465216] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698532978.406203143] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532978.409894095] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698532978.421823942] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532978.421897941] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532978.435906761] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698532978.439011721] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698532978.439368716] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532978.441626687] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532978.451002567] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532978.452767544] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698532978.456113501] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698532978.456884491] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532978.457370485] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532978.467640353] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532978.471916298] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532978.474558264] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698532978.478860209] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532978.480586186] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532978.483425150] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532978.485580122] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532978.485963117] [robot]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698532978.486052116] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698532978.494132012] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532978.503644890] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698532978.517230715] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532978.521037666] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698532978.517946706] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698532978.521963655] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698532978.525989603] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698532978.527425584] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532978.530610543] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698532978.536556467] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532978.541169408] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698532978.541484404] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532978.547880321] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532978.553746246] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698532978.566989076] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532978.571357020] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532978.582271879] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532978.586130830] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532978.582856872] [robot]: Receiving sync message. a_deposit,nurse1,robot1
