 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [planner-5] [INFO] [1698541158.949066769] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [robot-6] [INFO] [1698541158.952625726] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541158.961028623] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698541158.971641493] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698541158.975825442] [environment]: Action: a_approach_arm
trials-all-1  | [planner-5] [INFO] [1698541158.971948489] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698541158.975767442] [planner]: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698541158.973694468] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541158.977569420] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541158.986056316] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698541158.989942269] [robot]: Action result: True
trials-all-1  | [planner-5] [INFO] [1698541158.979721394] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698541158.984012341] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541158.988243290] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698541158.992190241] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541158.999641150] [planner]: a_open_door,nurse1,Room3
trials-all-1  | [planner-5] [INFO] [1698541159.003264106] [planner]: a_navto,robot1,Room3
trials-all-1  | [nurse-4] [INFO] [1698541158.985762320] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541158.989566273] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541158.997102181] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541159.004191094] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541158.998435165] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698541159.002881110] [coordinator]: action_complete
trials-all-1  | [planner-5] [INFO] [1698541159.006877061] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698541159.015612954] [planner]: a_open_drawer,robot1
trials-all-1  | [environment-3] [INFO] [1698541159.010316019] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698541159.015548955] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698541159.019576906] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698541159.019981901] [arm]: success
trials-all-1  | [planner-5] [INFO] [1698541159.022893865] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [arm-1] [INFO] [1698541159.025724831] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698541159.028981791] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541159.040944644] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698541159.044873596] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698541159.030346774] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541159.056010460] [arm]: Doing a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698541159.034376725] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541159.038143679] [planner]: Sending response
trials-all-1  | [nurse-4] [INFO] [1698541159.037407688] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541159.041522637] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541159.050985522] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541159.054865474] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541159.054184482] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698541159.058996424] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_open_door,nurse1,Room3/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541159.067846315] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698541159.072777255] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541159.077294200] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698541159.077294200] [environment]: Action: a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541159.083405125] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698541159.089618049] [coordinator]: a_open_drawer,robot1
