 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698527303.341484575] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527303.342167570] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698527303.342991565] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698527303.348586528] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527303.352708502] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527303.356912474] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698527303.364447425] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527303.372694372] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527303.376726345] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527303.381831312] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527303.384508295] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698527303.395426224] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527303.396692215] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527303.398389204] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698527303.404092167] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698527303.405409159] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527303.407382146] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698527303.419320068] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698527303.420664060] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698527303.421845052] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698527303.424767033] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527303.427233017] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527303.436102959] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698527303.440047933] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527303.441608923] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527303.453237848] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698527303.453969843] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527303.454474840] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527303.460982797] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527303.465577767] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527303.470633735] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527303.478798681] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698527303.485339639] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698527303.495550572] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527303.501002537] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527303.501061537] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527303.506620500] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527303.507947492] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698527303.516504436] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527303.521219406] [robot]: Authenticate nurse
trials-all-1  | [arm-1] [INFO] [1698527303.522514397] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698527303.532367333] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527303.534219321] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698527303.543317262] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698527303.544374255] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698527303.559587156] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527303.562104140] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698527303.564396125] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698527303.569010095] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527303.573131068] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698527303.576122048] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698527303.583906998] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698527303.588298969] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698527303.589191963] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698527303.592716941] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698527303.593803933] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527303.600111892] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527303.605647856] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527303.612129814] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527303.618540773] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527303.626897718] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698527303.633921673] [robot]: Doing a_open_drawer
