 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698533415.006760169] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698533415.010832134] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698533415.012478120] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533415.013212114] [nurse]: success
trials-all-1  | [coordinator-2] [INFO] [1698533415.014810100] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [nurse-4] [INFO] [1698533415.020345053] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698533415.022349036] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533415.023354028] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533415.028489984] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533415.055051759] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533415.059430722] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533415.070326629] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533415.076626576] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533415.078395561] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698533415.083270519] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698533415.086567491] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533415.096072411] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533415.096497407] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698533415.099888378] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698533415.107724312] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533415.117706227] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533415.126115156] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698533415.126869149] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533415.131123113] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533415.136021071] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533415.139835039] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533415.134282086] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698533415.138418051] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698533415.153869920] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533415.157888886] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533415.158268883] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698533415.175802734] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533415.179981698] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698533415.188610625] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698533415.192410593] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698533415.189773615] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533415.201841513] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698533415.205475482] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533415.207048469] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533415.222848334] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533415.229446278] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533415.240451185] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533415.242034172] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698533415.244560150] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533415.248703115] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533415.252784080] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533415.253698073] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698533415.269232941] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533415.273464905] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533415.270254932] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698533415.291258754] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533415.294951722] [arm]: Action result: False
