 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698533949.199769045] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533949.210661848] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698533949.211701830] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533949.216123750] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533949.219624687] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533949.230219496] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698533949.232419456] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533949.234275423] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698533949.236051391] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533949.242015283] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533949.246600201] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698533949.250424132] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698533949.250983122] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533949.260577949] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533949.267229829] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533949.272736730] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533949.273354718] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698533949.275057688] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533949.278905618] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533949.282984545] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533949.286876475] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533949.293172361] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533949.307691100] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698533949.309348070] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533949.310746045] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533949.313140001] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698533949.318156911] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533949.325446780] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533949.325781774] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698533949.336135587] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533949.338150551] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698533949.342518472] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533949.347101389] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698533949.350519328] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533949.353286278] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698533949.355042246] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533949.361330133] [robot]: Deposit
trials-all-1  | [arm-1] [INFO] [1698533949.369550985] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533949.374459896] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698533949.374655893] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698533949.378712820] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533949.381774764] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533949.395546516] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533949.400936419] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533949.407276305] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698533949.414469175] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533949.423025021] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533949.429306908] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698533949.430547885] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533949.434706810] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533949.438394744] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533949.447107587] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533949.453588470] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [robot-6] [INFO] [1698533949.456576416] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533949.464916266] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533949.468839195] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533949.472923122] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698533949.475104082] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533949.479253008] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533949.490442806] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533949.495239719] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698533949.500349627] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533949.506877510] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533949.511029435] [robot]: not ready
