 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698534339.150944560] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534339.155676492] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534339.162842389] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534339.167444323] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534339.171403266] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698534339.166085342] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534339.169899288] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534339.178737160] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698534339.182874101] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534339.183493092] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534339.189366008] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534339.198652874] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534339.206376763] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534339.213991653] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698534339.218397590] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534339.203416806] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698534339.222602530] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698534339.223615515] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534339.227680457] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698534339.227951453] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534339.237867310] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534339.242116249] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534339.238120307] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534339.242214248] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534339.250775125] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534339.251172119] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698534339.255341059] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534339.259712996] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534339.260321987] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698534339.264318930] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534339.272569811] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534339.277222744] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534339.285449626] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698534339.290648551] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698534339.288230586] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534339.295217485] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534339.300481410] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698534339.309762276] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534339.310444266] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698534339.313978216] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534339.314403210] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534339.322763089] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534339.327061027] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534339.331940957] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534339.337091883] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698534339.345009769] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534339.349386706] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534339.353086653] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534339.360906541] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534339.369771413] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534339.376493317] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698534339.381955238] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698534339.382378232] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534339.386820168] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534339.393847067] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534339.398157005] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534339.405154904] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534339.409181847] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534339.415402757] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698534339.418144718] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534339.427783579] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534339.432279514] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698534339.440361398] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534339.443269356] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534339.447855290] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534339.452423225] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534339.456780162] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534339.463498065] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534339.468032000] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534339.473912916] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698534339.479571834] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534339.484222767] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698534339.487217724] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698534339.488449707] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534339.492653646] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534339.498996555] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534339.503158495] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534339.510126395] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698534339.519003267] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698534339.523268206] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698534339.524857183] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534339.529751113] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534339.539859967] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534339.543653913] [arm]: Doing a_pick_up_sample
