 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698534212.281813677] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534212.296351445] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534212.301146369] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534212.313134178] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534212.317560107] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534212.317918101] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534212.321823039] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698534212.334707834] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534212.334832832] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698534212.344378679] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534212.346919639] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534212.353037541] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698534212.354363520] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534212.356946479] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534212.363248378] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534212.365482343] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534212.371098253] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698534212.374283202] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534212.379137125] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534212.380424104] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534212.385056030] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534212.387190996] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534212.389253963] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698534212.397685829] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698534212.397853826] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698534212.399009808] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534212.401905762] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698534212.405236708] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534212.411149614] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698534212.415066552] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534212.417224517] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534212.426063376] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698534212.429292325] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534212.433029265] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698534212.442880108] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698534212.448097025] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534212.453114945] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698534212.455603905] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698534212.458848853] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534212.464865757] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534212.475848582] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534212.481913485] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534212.485643426] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534212.497046244] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534212.497425238] [coordinator]: Receiving sync message: action_complete,a_deposit
