 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698530449.267881747] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698530449.270521747] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530449.273234747] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530449.277828748] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530449.291158749] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698530449.292114749] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530449.296899749] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530449.297027749] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530449.301172750] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698530449.312300751] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530449.315084751] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530449.322647751] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530449.329100752] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530449.335426753] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530449.341314753] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530449.347526754] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698530449.356524754] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530449.358420755] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530449.364628755] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698530449.367992755] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530449.373278756] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530449.383870757] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530449.384141757] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698530449.395628758] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698530449.398682758] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530449.409410759] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530449.411391759] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530449.415314759] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530449.416450760] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530449.421290760] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530449.421636760] [nurse]: Action: a_deposit
