 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698540804.642258022] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698540804.646878918] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540804.655102731] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698540804.656637696] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698540804.661858578] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540804.665890486] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540804.669740399] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540804.669752399] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540804.675362272] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698540804.680257161] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540804.681807125] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540804.685674038] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540804.683985076] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698540804.687687992] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540804.691627903] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540804.695490815] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540804.695076824] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540804.695651811] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698540804.699002735] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698540804.707250548] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698540804.707794536] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540804.713865398] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540804.719568269] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698540804.723510180] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540804.725835127] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698540804.728944056] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540804.732392978] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540804.732362979] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540804.736499885] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540804.744621701] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540804.740186801] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540804.746037669] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540804.755878445] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540804.755988443] [nurse]: Doing a_deposit
