 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698535760.981317412] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698535760.987736482] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535760.991601524] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535760.999418610] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535761.003148651] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535761.008502709] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698535760.991667525] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535761.010247728] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535761.000812625] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535761.012926758] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535761.022056857] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535761.027545917] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535761.032191968] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535761.036046010] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698535761.026204902] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535761.032191968] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535761.033744985] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535761.040197055] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535761.063854313] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535761.065139327] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535761.073046413] [robot]: Action: a_authenticate_nurse
