 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698540409.725451372] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540409.729673428] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540409.729209422] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540409.734844496] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540409.740203566] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698540409.736222514] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540409.739987563] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540409.748419674] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698540409.757878798] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540409.764324882] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540409.766627913] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698540409.777069049] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698540409.782005114] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540409.797663320] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540409.814322538] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540409.822798649] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698540409.828519724] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698540409.830435749] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540409.832664779] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540409.842076902] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698540409.849962006] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698540409.854815069] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698540409.858887123] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698540409.852037033] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540409.858214114] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540409.862069164] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540409.878125375] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698540409.885863477] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540409.889809528] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540409.896627618] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540409.901277679] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540409.907161756] [arm]: Action result: False
