 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698538913.834185852] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538913.848687444] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538913.854233287] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698538913.858960154] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538913.869061869] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538913.870225836] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698538913.882371494] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698538913.886178387] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538913.882431492] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538913.886178387] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538913.890281271] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538913.897069080] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698538913.902437928] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538913.906888803] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538913.909211737] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538913.911807664] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698538913.914090600] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538913.919732441] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538913.926251257] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538913.931504109] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698538913.943014785] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538913.957029390] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538913.961366267] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538913.968861056] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538913.971882971] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538913.975639865] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538913.985260594] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538913.985883576] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538913.991181427] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538913.994602331] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538913.996555275] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538914.005980010] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698538914.006399998] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538914.011883844] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698538914.024862478] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698538914.034485207] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698538914.040082050] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698538914.046422871] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698538914.049870774] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698538914.035790171] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538914.039794058] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538914.044691920] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538914.049865775] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538914.054403647] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538914.058719525] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538914.048501813] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538914.053690667] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538914.057706554] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538914.070253201] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538914.071574164] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538914.072033151] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538914.076235032] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698538914.087205724] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538914.097945421] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698538914.100259356] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538914.102118304] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538914.106499180] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698538914.107876142] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538914.114657951] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698538914.116158909] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698538914.119882804] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538914.124759666] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538914.128221569] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538914.123893691] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698538914.127653585] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538914.138767272] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538914.142808158] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538914.146519054] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698538914.146292060] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538914.147063039] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698538914.152547884] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698538914.158766709] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698538914.169360411] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698538914.180749090] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538914.194625700] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698538914.201528506] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538914.212582194] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698538914.216308090] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538914.213034182] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538914.216378088] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538914.213307174] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698538914.217226064] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698538914.223479888] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538914.229672713] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538914.234438579] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698538914.236467522] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538914.240620405] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538914.244796288] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698538914.255072998] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538914.260992832] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538914.271372540] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698538914.275769416] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538914.273415482] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538914.273566478] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698538914.279788303] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538914.282859216] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538914.287019099] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538914.284153180] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698538914.287967072] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538914.293962904] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538914.297205812] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698538914.298201784] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698538914.302064676] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698538914.301690686] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698538914.305504579] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538914.314091337] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538914.318474214] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538914.325515016] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698538914.329657899] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698538914.332806810] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538914.338583648] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698538914.343331514] [robot]: Deposit
trials-all-1  | [arm-1] [INFO] [1698538914.344233489] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538914.347288403] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [nurse-4] [INFO] [1698538914.351656280] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698538914.351853274] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538914.354371203] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538914.356138154] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698538914.357826106] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698538914.360133041] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538914.366456863] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538914.370754742] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538914.375781601] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698538914.382625408] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538914.386300305] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538914.394668069] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538914.397538988] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698538914.401891866] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698538914.402322854] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698538914.410413626] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538914.419017384] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538914.423649253] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538914.427001159] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698538914.449353530] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538914.449488526] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698538914.453525412] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538914.454079397] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698538914.458286278] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698538914.469387966] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538914.474329827] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538914.481954612] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538914.486457485] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538914.491439345] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538914.496565201] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538914.501579060] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538914.505634945] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698538914.509840827] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698538914.514023709] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538914.521875488] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538914.534506133] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538914.538490021] [robot]: not ready
