 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698537665.563340277] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537665.573086466] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698537665.585665710] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698537665.590084796] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698537665.591862831] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537665.603145050] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537665.604212070] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537665.607540135] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537665.613349247] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537665.619875374] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698537665.623443443] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537665.627662525] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698537665.628855548] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537665.633103631] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698537665.634985667] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537665.648754934] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537665.656189079] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537665.660626165] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537665.664141233] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537665.658147117] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537665.662241196] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537665.677106485] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698537665.678617514] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537665.689960734] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537665.702601979] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537665.706671058] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537665.710471132] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537665.703190991] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537665.707253069] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537665.710814139] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537665.717539269] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537665.718392286] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698537665.728986491] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
